tmdb_id,keywords
26198,"[{'id': 2652, 'name': 'nazis'}, {'id': 14825, 'name': 'electronic music score'}, {'id': 15001, 'name': 'demon'}, {'id': 184995, 'name': 'ss'}]"
25001,"[{'id': 444, 'name': 'taxi'}, {'id': 612, 'name': 'hotel'}, {'id': 222720, 'name': 'government secrets'}]"
74935,"[{'id': 1233, 'name': 'composer'}, {'id': 5129, 'name': 'to make music'}, {'id': 5783, 'name': 'classical music'}, {'id': 15216, 'name': 'avant-garde'}]"
321039,[]
407375,"[{'id': 1419, 'name': 'gun'}, {'id': 3535, 'name': 'pipeline'}, {'id': 4986, 'name': 'enemy'}, {'id': 5138, 'name': 'gas'}, {'id': 10364, 'name': 'mission'}, {'id': 12548, 'name': 'shooter'}, {'id': 44495, 'name': 'gas pipeline'}, {'id': 159457, 'name': 'security'}, {'id': 201775, 'name': 'killed'}, {'id': 228632, 'name': 'elite snipers'}, {'id': 228633, 'name': 'snipers'}, {'id': 228634, 'name': 'battles'}, {'id': 228635, 'name': 'ghost shooter'}, {'id': 228636, 'name': 'breach'}]"
303665,"[{'id': 9571, 'name': 'motor sport'}]"
12920,"[{'id': 643, 'name': 'horse race'}, {'id': 2673, 'name': 'horse'}, {'id': 3291, 'name': 'kentucky'}, {'id': 6075, 'name': 'sport'}, {'id': 9672, 'name': 'based on true story'}, {'id': 10235, 'name': 'family relationships'}, {'id': 15300, 'name': 'father daughter relationship'}]"
69696,"[{'id': 6025, 'name': 'photography'}, {'id': 14893, 'name': 'art'}, {'id': 18035, 'name': 'family'}, {'id': 34079, 'name': 'death'}]"
262713,[]
17893,"[{'id': 8097, 'name': 'leukemia'}]"
356324,"[{'id': 187056, 'name': 'woman director'}, {'id': 192115, 'name': 'photgraphy'}]"
440047,"[{'id': 9716, 'name': 'stand-up comedy'}]"
256962,"[{'id': 907, 'name': 'japanese'}, {'id': 1956, 'name': 'world war ii'}, {'id': 10706, 'name': 'spirituality'}]"
141714,"[{'id': 5647, 'name': 'natural history'}]"
241863,[]
114719,[]
155084,[]
862,"[{'id': 931, 'name': 'jealousy'}, {'id': 4290, 'name': 'toy'}, {'id': 5202, 'name': 'boy'}, {'id': 6054, 'name': 'friendship'}, {'id': 9713, 'name': 'friends'}, {'id': 9823, 'name': 'rivalry'}, {'id': 165503, 'name': 'boy next door'}, {'id': 170722, 'name': 'new toy'}, {'id': 187065, 'name': 'toy comes to life'}]"
61035,"[{'id': 2570, 'name': 'rock star'}, {'id': 12425, 'name': 'racism'}, {'id': 14768, 'name': 'single mother'}, {'id': 156158, 'name': 'racial slur'}, {'id': 178945, 'name': 'working mom'}, {'id': 187056, 'name': 'woman director'}]"
29396,"[{'id': 2884, 'name': 'asylum'}, {'id': 3598, 'name': 'ax'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 157758, 'name': 'axe murder'}, {'id': 233450, 'name': 'proto-slasher'}]"
282225,"[{'id': 6078, 'name': 'politics'}]"
114514,[]
75350,[]
415892,[]
119001,"[{'id': 291, 'name': 'circus'}, {'id': 156623, 'name': 'trapeze'}]"
294550,[]
15718,"[{'id': 65, 'name': 'holiday'}, {'id': 3335, 'name': 'halloween'}, {'id': 3358, 'name': 'haunted house'}, {'id': 4328, 'name': 'costume'}, {'id': 10336, 'name': 'animation'}, {'id': 162846, 'name': 'ghost'}, {'id': 180193, 'name': 'trick or treating'}, {'id': 195032, 'name': 'garfield'}]"
112631,"[{'id': 572, 'name': 'sex'}, {'id': 1523, 'name': 'obsession'}, {'id': 1930, 'name': 'kidnapping'}, {'id': 2483, 'name': 'nudity'}, {'id': 33513, 'name': 'desire'}, {'id': 33841, 'name': 'incest'}, {'id': 188720, 'name': 'shame'}]"
93091,[]
35848,"[{'id': 10092, 'name': 'mystery'}, {'id': 10183, 'name': 'independent film'}, {'id': 15009, 'name': 'criminal'}]"
98549,"[{'id': 185722, 'name': 'based on true events'}]"
20449,"[{'id': 187056, 'name': 'woman director'}]"
5937,"[{'id': 233, 'name': 'japan'}, {'id': 478, 'name': 'china'}, {'id': 5565, 'name': 'biography'}, {'id': 7557, 'name': 'ns-zeit'}, {'id': 7558, 'name': 'life-saver'}, {'id': 10089, 'name': 'slaughter'}, {'id': 10814, 'name': 'wounded'}, {'id': 13065, 'name': 'soldier'}]"
77147,[]
15420,[]
432615,"[{'id': 5769, 'name': 'global warming'}, {'id': 10503, 'name': 'scuba diving'}, {'id': 174440, 'name': 'time lapse photography'}, {'id': 182147, 'name': 'underwater photography'}, {'id': 195857, 'name': 'marine biology'}]"
5493,"[{'id': 4379, 'name': 'time travel'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 14819, 'name': 'violence'}]"
79723,"[{'id': 12377, 'name': 'zombie'}]"
92432,"[{'id': 2428, 'name': 'deportation'}, {'id': 2450, 'name': 'auschwitz'}, {'id': 10235, 'name': 'family relationships'}, {'id': 159346, 'name': 'deceit'}, {'id': 160224, 'name': 'post world war ii'}]"
56338,[]
70172,[]
24731,"[{'id': 4948, 'name': 'retirement'}, {'id': 8015, 'name': 'cop'}]"
92321,"[{'id': 6152, 'name': 'supernatural'}, {'id': 9914, 'name': 'slice of life'}, {'id': 13141, 'name': 'based on manga'}, {'id': 13153, 'name': 'spirit'}, {'id': 178856, 'name': 'folklore'}, {'id': 207695, 'name': 'japanese mythology'}, {'id': 210024, 'name': 'anime'}]"
27655,"[{'id': 3151, 'name': 'scarecrow'}, {'id': 9706, 'name': 'anthology'}, {'id': 9824, 'name': 'reunion'}, {'id': 9826, 'name': 'murder'}, {'id': 10909, 'name': 'lawyer'}, {'id': 213800, 'name': 'tail coat'}]"
15005,"[{'id': 818, 'name': 'based on novel'}, {'id': 1241, 'name': 'persia'}, {'id': 2011, 'name': 'queen'}, {'id': 10345, 'name': 'esther'}]"
9520,"[{'id': 110, 'name': 'venice'}, {'id': 703, 'name': 'detective'}, {'id': 1328, 'name': 'secret'}, {'id': 2041, 'name': 'island'}, {'id': 7063, 'name': 'children gang'}, {'id': 155790, 'name': 'private detective'}]"
80527,"[{'id': 3801, 'name': 'space travel'}, {'id': 9951, 'name': 'alien'}, {'id': 155652, 'name': 'nuclear'}, {'id': 163338, 'name': 'egyptian mythology'}, {'id': 193132, 'name': 'symbiote'}, {'id': 222800, 'name': 'ra'}, {'id': 232054, 'name': ""goa'uld""}]"
360249,"[{'id': 393, 'name': 'civil war'}, {'id': 1191, 'name': 'norway'}, {'id': 4152, 'name': 'kingdom'}, {'id': 5895, 'name': 'viking'}, {'id': 10794, 'name': 'snow'}, {'id': 230917, 'name': 'vikings'}]"
248698,[]
224,"[{'id': 30, 'name': 'individual'}, {'id': 564, 'name': 'polen'}]"
107643,"[{'id': 1794, 'name': 'yakuza'}, {'id': 9748, 'name': 'revenge'}, {'id': 33998, 'name': 'lesbian sex'}]"
2140,"[{'id': 90, 'name': 'paris'}, {'id': 549, 'name': 'prostitute'}, {'id': 14964, 'name': 'drug'}]"
90909,[]
2064,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 520, 'name': 'chicago'}, {'id': 732, 'name': 'coma'}, {'id': 1552, 'name': 'subway'}, {'id': 2038, 'name': ""love of one's life""}, {'id': 5301, 'name': 'brother'}, {'id': 5989, 'name': ""man of one's dreams""}, {'id': 11612, 'name': 'hospital'}]"
375167,"[{'id': 187056, 'name': 'woman director'}]"
54814,[]
18032,[]
22731,"[{'id': 8087, 'name': 'horror'}]"
42591,"[{'id': 13006, 'name': 'torture'}, {'id': 40931, 'name': 'witchcraft'}, {'id': 207941, 'name': '17th century'}]"
274626,"[{'id': 1297, 'name': 'predator'}, {'id': 6876, 'name': 'vacation'}, {'id': 18165, 'name': 'animal'}]"
67177,[]
91549,"[{'id': 3133, 'name': 'vampire'}, {'id': 10873, 'name': 'school'}, {'id': 41172, 'name': 'schoolgirl'}, {'id': 187056, 'name': 'woman director'}, {'id': 190141, 'name': 'new girl at school'}]"
4638,"[{'id': 5331, 'name': 'village'}, {'id': 5638, 'name': 'arrest'}, {'id': 6149, 'name': 'police'}, {'id': 9104, 'name': 'partner'}, {'id': 9826, 'name': 'murder'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 12371, 'name': 'gunfight'}, {'id': 167268, 'name': 'police force'}, {'id': 167284, 'name': 'cowboy costume'}, {'id': 207819, 'name': 'accident'}]"
346225,[]
42476,"[{'id': 9663, 'name': 'sequel'}, {'id': 10183, 'name': 'independent film'}, {'id': 14819, 'name': 'violence'}, {'id': 34079, 'name': 'death'}, {'id': 41412, 'name': 'sewer'}, {'id': 158130, 'name': 'animal attack'}, {'id': 189359, 'name': 'rat'}, {'id': 228465, 'name': 'eaten by rats'}, {'id': 235704, 'name': 'pet rat'}]"
12584,"[{'id': 818, 'name': 'based on novel'}, {'id': 1589, 'name': 'sniper'}, {'id': 4129, 'name': 'widow'}, {'id': 4948, 'name': 'retirement'}]"
11038,"[{'id': 378, 'name': 'prison'}, {'id': 156120, 'name': 'train robbery'}]"
61854,"[{'id': 1576, 'name': 'technology'}, {'id': 3519, 'name': 'silicon valley'}, {'id': 157933, 'name': 'atari'}, {'id': 157935, 'name': 'apple computer'}, {'id': 157937, 'name': 'pong'}, {'id': 157941, 'name': 'reference to steve jobs'}]"
180514,[]
377278,[]
12764,"[{'id': 1968, 'name': 'prisoners of war'}, {'id': 2434, 'name': 'liberation'}, {'id': 2957, 'name': 'vietnam war'}, {'id': 2959, 'name': 'vietcong'}, {'id': 4959, 'name': 'death of a friend'}, {'id': 9748, 'name': 'revenge'}, {'id': 10685, 'name': 'escape'}, {'id': 10950, 'name': 'shootout'}, {'id': 13006, 'name': 'torture'}]"
65215,"[{'id': 191089, 'name': 'family guy'}]"
14239,"[{'id': 572, 'name': 'sex'}, {'id': 3182, 'name': 'seduction'}, {'id': 5451, 'name': 'comic book'}, {'id': 9820, 'name': 'alternate dimension'}, {'id': 161919, 'name': 'adult animation'}, {'id': 202399, 'name': 'cartoonist'}, {'id': 209220, 'name': 'live action and animation'}]"
115788,[]
10510,"[{'id': 65, 'name': 'holiday'}, {'id': 271, 'name': 'competition'}, {'id': 1605, 'name': 'new love'}, {'id': 1991, 'name': 'santa claus'}, {'id': 2081, 'name': 'department store'}, {'id': 2618, 'name': 'miracle'}, {'id': 4896, 'name': 'wish'}, {'id': 207317, 'name': 'christmas'}]"
180016,"[{'id': 1900, 'name': 'immigration'}, {'id': 2393, 'name': 'adoption'}, {'id': 10586, 'name': 'korea'}, {'id': 187056, 'name': 'woman director'}]"
91422,"[{'id': 3203, 'name': 'pilot'}]"
443053,"[{'id': 10530, 'name': 'atlantic city'}, {'id': 15009, 'name': 'criminal'}, {'id': 155841, 'name': 'gambler'}]"
10149,"[{'id': 919, 'name': 'smoking'}, {'id': 1621, 'name': 'robber'}, {'id': 3170, 'name': 'cigarette'}, {'id': 6458, 'name': 'cigar'}, {'id': 8736, 'name': 'laden'}, {'id': 10183, 'name': 'independent film'}, {'id': 13028, 'name': 'writer'}]"
6974,"[{'id': 839, 'name': 'mars'}, {'id': 1299, 'name': 'monster'}, {'id': 8183, 'name': 'carnivorous plant'}, {'id': 9831, 'name': 'spaceship'}, {'id': 9951, 'name': 'alien'}, {'id': 10539, 'name': 'martian'}, {'id': 11100, 'name': 'giant monster'}, {'id': 12405, 'name': 'outer space'}, {'id': 13005, 'name': 'doctor'}, {'id': 14626, 'name': 'astronaut'}, {'id': 195114, 'name': 'space adventure'}, {'id': 210234, 'name': 'man eating plant'}]"
297173,[]
240832,"[{'id': 310, 'name': 'artificial intelligence'}, {'id': 1475, 'name': 'telepathy'}, {'id': 2051, 'name': 'intelligence'}, {'id': 2235, 'name': 'drug mule'}, {'id': 5086, 'name': 'telekinesis'}, {'id': 9685, 'name': 'futuristic'}, {'id': 14964, 'name': 'drug'}, {'id': 33637, 'name': 'superpower'}, {'id': 34009, 'name': 'tough girl'}, {'id': 156395, 'name': 'imax'}, {'id': 157959, 'name': 'surgery'}, {'id': 234944, 'name': 'brain capacity'}, {'id': 234945, 'name': 'synthetic drug'}, {'id': 234946, 'name': 'human brain'}]"
654,"[{'id': 9826, 'name': 'murder'}, {'id': 9937, 'name': 'suspense'}, {'id': 15137, 'name': 'union'}, {'id': 47079, 'name': 'dock'}, {'id': 69467, 'name': 'longshoreman'}, {'id': 156151, 'name': 'pigeon'}]"
21220,"[{'id': 187056, 'name': 'woman director'}]"
11351,"[{'id': 494, 'name': 'father son relationship'}, {'id': 3151, 'name': 'scarecrow'}, {'id': 4402, 'name': 'peasant'}, {'id': 4932, 'name': 'farm'}, {'id': 4978, 'name': 'immortality'}, {'id': 5457, 'name': 'mythical creature'}, {'id': 5905, 'name': 'father'}]"
58159,"[{'id': 155290, 'name': 'disney short'}, {'id': 156139, 'name': 'silly symphony'}, {'id': 188460, 'name': 'tortoise'}, {'id': 190585, 'name': ""aesop's fables""}]"
319167,[]
335796,"[{'id': 6152, 'name': 'supernatural'}, {'id': 9675, 'name': 'prequel'}, {'id': 9712, 'name': 'possession'}, {'id': 10112, 'name': 'ouija board'}, {'id': 13153, 'name': 'spirit'}, {'id': 162846, 'name': 'ghost'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 208992, 'name': '1960s'}]"
70436,"[{'id': 351, 'name': 'poison'}, {'id': 1936, 'name': 'blackmail'}, {'id': 2404, 'name': 'masked ball'}, {'id': 6165, 'name': 'historical figure'}, {'id': 7172, 'name': 'buried alive'}, {'id': 10714, 'name': 'serial killer'}, {'id': 15145, 'name': 'deadline'}, {'id': 155317, 'name': 'edgar allan poe'}, {'id': 158935, 'name': 'newspaper review'}, {'id': 158938, 'name': 'baltimore maryland'}, {'id': 158940, 'name': 'newspaper office'}, {'id': 158950, 'name': 'hard times'}, {'id': 158951, 'name': 'life imitates art'}, {'id': 158952, 'name': 'pendulum'}]"
31674,"[{'id': 9714, 'name': 'remake'}, {'id': 9748, 'name': 'revenge'}, {'id': 13027, 'name': 'wedding'}, {'id': 229299, 'name': 'affair'}]"
318224,"[{'id': 6158, 'name': 'cult'}, {'id': 159314, 'name': 'scientology'}]"
145081,[]
48707,[]
74312,"[{'id': 187056, 'name': 'woman director'}]"
36612,"[{'id': 1415, 'name': 'small town'}, {'id': 6038, 'name': 'marriage'}, {'id': 191145, 'name': 'stage mother'}]"
72917,[]
47874,[]
45046,"[{'id': 393, 'name': 'civil war'}, {'id': 917, 'name': 'journalism'}, {'id': 1550, 'name': 'militia'}, {'id': 2173, 'name': 'illegal immigration'}, {'id': 6078, 'name': 'politics'}]"
447818,"[{'id': 7020, 'name': 'bodybuilding'}, {'id': 201725, 'name': 'strong'}]"
36234,"[{'id': 738, 'name': 'sexuality'}, {'id': 931, 'name': 'jealousy'}, {'id': 2887, 'name': 'manipulation'}, {'id': 10183, 'name': 'independent film'}, {'id': 14629, 'name': 'experimental film'}, {'id': 14964, 'name': 'drug'}, {'id': 15246, 'name': 'sabotage'}, {'id': 207583, 'name': 'actress'}]"
53190,"[{'id': 6075, 'name': 'sport'}]"
31281,[]
28997,[]
18222,"[{'id': 2887, 'name': 'manipulation'}, {'id': 9840, 'name': 'romance'}, {'id': 18035, 'name': 'family'}, {'id': 190370, 'name': 'erotic movie'}]"
4349,"[{'id': 441, 'name': 'assassination'}, {'id': 782, 'name': 'assassin'}, {'id': 949, 'name': 'terrorist'}, {'id': 1653, 'name': 'explosive'}, {'id': 1812, 'name': 'fbi'}, {'id': 3713, 'name': 'chase'}, {'id': 5174, 'name': 'saudi arabia'}, {'id': 5340, 'name': 'investigation'}, {'id': 6149, 'name': 'police'}, {'id': 6780, 'name': 'medical examiner'}, {'id': 13015, 'name': 'terrorism'}, {'id': 18525, 'name': 'fbi agent'}, {'id': 173259, 'name': 'arab'}, {'id': 206544, 'name': 'bomb attack'}]"
175791,[]
32147,[]
153737,[]
170986,[]
225574,"[{'id': 3800, 'name': 'airplane'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 12617, 'name': 'airplane crash'}, {'id': 15156, 'name': 'cell phone'}, {'id': 155238, 'name': 'hijack'}, {'id': 162914, 'name': 'one night'}, {'id': 184297, 'name': 'mystery killer'}]"
160046,[]
102041,"[{'id': 4388, 'name': 'titanic'}]"
18874,"[{'id': 9717, 'name': 'based on comic'}, {'id': 12190, 'name': 'cyberpunk'}]"
356057,[]
79431,"[{'id': 919, 'name': 'smoking'}, {'id': 1004, 'name': 'commercial'}, {'id': 1526, 'name': 'home'}, {'id': 2300, 'name': 'despair'}, {'id': 6029, 'name': 'concert'}, {'id': 9823, 'name': 'rivalry'}, {'id': 10556, 'name': 'male female relationship'}, {'id': 10937, 'name': 'memory'}, {'id': 14955, 'name': 'fighting'}, {'id': 157499, 'name': 'mother son relationship'}, {'id': 171070, 'name': 'arrogance'}, {'id': 188625, 'name': 'watermelon'}, {'id': 197084, 'name': 'having fun'}, {'id': 205838, 'name': 'naked man'}, {'id': 205839, 'name': 'formalness'}, {'id': 205840, 'name': 'making peace'}, {'id': 205843, 'name': 'dissatisfied woman'}, {'id': 205844, 'name': 'treacherousness'}, {'id': 205845, 'name': 'competition in a family'}, {'id': 205846, 'name': 'indecent talk'}, {'id': 205847, 'name': 'taking offence'}, {'id': 205848, 'name': 'communicating via phone'}, {'id': 205849, 'name': 'odd crowd'}]"
45176,[]
159121,"[{'id': 2231, 'name': 'drug dealer'}, {'id': 10776, 'name': 'marijuana'}, {'id': 162836, 'name': 'weed+'}, {'id': 172972, 'name': 'old woman'}]"
165569,[]
238302,"[{'id': 603, 'name': 'elves'}, {'id': 1991, 'name': 'santa claus'}, {'id': 4344, 'name': 'musical'}, {'id': 4379, 'name': 'time travel'}, {'id': 34154, 'name': 'north pole'}, {'id': 207317, 'name': 'christmas'}]"
54928,"[{'id': 8087, 'name': 'horror'}, {'id': 9951, 'name': 'alien'}]"
153073,[]
55438,"[{'id': 10046, 'name': 'mecha'}, {'id': 13141, 'name': 'based on manga'}, {'id': 210024, 'name': 'anime'}, {'id': 231576, 'name': 'comic meteor'}]"
83361,"[{'id': 3544, 'name': 'machete'}, {'id': 187821, 'name': 'bandana'}, {'id': 222954, 'name': 'palms'}]"
144139,"[{'id': 154802, 'name': 'silent film'}, {'id': 169079, 'name': 'candid camera'}]"
183871,"[{'id': 736, 'name': 'journalist'}, {'id': 769, 'name': 'falsely accused'}, {'id': 904, 'name': 'pennsylvania'}, {'id': 1563, 'name': 'prisoner'}, {'id': 2501, 'name': 'death row'}, {'id': 3012, 'name': 'court case'}, {'id': 3437, 'name': 'death sentence'}, {'id': 4243, 'name': 'black panthers'}, {'id': 7533, 'name': 'black panther'}, {'id': 9826, 'name': 'murder'}, {'id': 11038, 'name': 'trial'}, {'id': 11523, 'name': 'capital punishment'}, {'id': 14536, 'name': 'crime'}, {'id': 33519, 'name': 'courtroom'}, {'id': 154882, 'name': 'appeal'}, {'id': 180162, 'name': 'death row inmate'}, {'id': 190669, 'name': 'black panther party'}]"
30204,"[{'id': 934, 'name': 'judge'}, {'id': 1571, 'name': 'return'}, {'id': 2041, 'name': 'island'}, {'id': 2676, 'name': 'honeymoon'}, {'id': 9673, 'name': 'love'}, {'id': 9743, 'name': 'stranded'}]"
82716,"[{'id': 616, 'name': 'witch'}, {'id': 221683, 'name': 'waterman'}]"
61420,[]
11013,"[{'id': 236, 'name': 'suicide'}, {'id': 1443, 'name': 'clerk'}, {'id': 2699, 'name': 'fetish'}, {'id': 6373, 'name': 'sadomasochism'}, {'id': 10909, 'name': 'lawyer'}, {'id': 11612, 'name': 'hospital'}, {'id': 11677, 'name': 'secretary'}, {'id': 33451, 'name': 'masturbation'}, {'id': 34030, 'name': 'typewriter'}, {'id': 155271, 'name': 'kinky'}, {'id': 157800, 'name': 'cutting'}, {'id': 158254, 'name': 'pantyhose'}, {'id': 158713, 'name': 'bdsm'}, {'id': 212796, 'name': 'workplace romance'}]"
133115,"[{'id': 10217, 'name': 'tourette syndrome'}, {'id': 11036, 'name': 'obsessive compulsive disorder'}]"
27437,"[{'id': 9639, 'name': 'playboy'}, {'id': 13130, 'name': 'teenager'}]"
141643,"[{'id': 10051, 'name': 'heist'}, {'id': 10768, 'name': 'lesbian'}, {'id': 158871, 'name': 'women in prison'}]"
353686,"[{'id': 8087, 'name': 'horror'}, {'id': 10629, 'name': 'vision'}, {'id': 10721, 'name': 'pregnant'}, {'id': 221134, 'name': 'sight'}]"
299585,"[{'id': 290, 'name': 'angel'}, {'id': 207317, 'name': 'christmas'}]"
50087,"[{'id': 11451, 'name': 'pokémon'}]"
336663,"[{'id': 7158, 'name': 'war in afghanistan'}]"
43407,"[{'id': 907, 'name': 'japanese'}, {'id': 1956, 'name': 'world war ii'}, {'id': 4595, 'name': 'u.s. army'}, {'id': 9743, 'name': 'stranded'}, {'id': 10787, 'name': 'jungle'}, {'id': 11106, 'name': 'infantry'}, {'id': 11823, 'name': 'pacific island'}]"
23111,"[{'id': 2355, 'name': 'american dream'}, {'id': 3263, 'name': 'american  way of life'}, {'id': 6027, 'name': 'music'}, {'id': 186450, 'name': 'moscow'}]"
83486,[]
175461,[]
65075,"[{'id': 10428, 'name': 'cultural difference'}, {'id': 187056, 'name': 'woman director'}]"
71326,[]
30421,"[{'id': 8087, 'name': 'horror'}, {'id': 10084, 'name': 'rescue'}, {'id': 10995, 'name': 'elope'}, {'id': 10996, 'name': 'monsters of the wild'}, {'id': 10997, 'name': 'hell storming'}, {'id': 13153, 'name': 'spirit'}]"
98932,"[{'id': 8729, 'name': 'lighthouse keeper   '}]"
15837,[]
84907,"[{'id': 917, 'name': 'journalism'}, {'id': 2136, 'name': 'television'}, {'id': 11734, 'name': 'police corruption'}, {'id': 14831, 'name': 'stabbing'}, {'id': 161982, 'name': 'murder investigation'}, {'id': 221078, 'name': 'old footage'}]"
12823,"[{'id': 2587, 'name': 'married couple'}, {'id': 3489, 'name': 'job interview'}, {'id': 4900, 'name': 'shortage of money'}, {'id': 6215, 'name': 'household'}, {'id': 6282, 'name': 'workplace'}, {'id': 7934, 'name': 'call center'}, {'id': 156052, 'name': 'unemployment'}, {'id': 166113, 'name': 'marriage problems'}, {'id': 220487, 'name': 'rich vs poor'}]"
307930,[]
54662,"[{'id': 10183, 'name': 'independent film'}, {'id': 41214, 'name': 'youtube'}, {'id': 41216, 'name': 'time freeze'}, {'id': 187056, 'name': 'woman director'}]"
401544,"[{'id': 293, 'name': 'female nudity'}, {'id': 830, 'name': 'car race'}, {'id': 4553, 'name': 'black humor'}, {'id': 5113, 'name': 'overpopulation'}, {'id': 9714, 'name': 'remake'}, {'id': 9826, 'name': 'murder'}, {'id': 11532, 'name': 'grindhouse'}, {'id': 14671, 'name': 'corporate world'}, {'id': 162988, 'name': 'dystopic future'}, {'id': 169086, 'name': 'political satire'}, {'id': 214655, 'name': 'absurdism'}]"
27644,"[{'id': 800, 'name': 'bounty'}, {'id': 801, 'name': 'bounty hunter'}, {'id': 5301, 'name': 'brother'}, {'id': 9503, 'name': 'outlaw'}, {'id': 162722, 'name': 'indian attack'}]"
131805,[]
165477,[]
1907,"[{'id': 458, 'name': 'hippie'}, {'id': 911, 'name': 'exotic island'}, {'id': 966, 'name': 'beach'}, {'id': 1969, 'name': 'map'}, {'id': 2323, 'name': 'group dynamics'}, {'id': 2988, 'name': 'shark attack'}, {'id': 3077, 'name': 'leader'}, {'id': 3434, 'name': 'thailand'}, {'id': 5890, 'name': 'community'}, {'id': 5891, 'name': 'backpacker'}, {'id': 6262, 'name': 'delusion'}, {'id': 10776, 'name': 'marijuana'}, {'id': 14751, 'name': 'youth'}, {'id': 15097, 'name': 'shark'}, {'id': 34094, 'name': 'extramarital affair'}]"
24232,[]
